collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022351231962,2022,351231962,1,1,3,2,32,6,2,5,9,0,0,0,0,9,E01018006,7,1,1.0,0.0,-1
2020350950952,2020,350950952,2,1,1,2,25,5,3,0,0,0,0,0,1,8,E01018000,3,1,0.0,1.0,-1
2022351181859,2022,351181859,1,1,3,2,76,11,3,6,9,0,0,0,0,7,E01018300,3,1,0.0,1.0,-1
2024351422800,2024,351422800,2,1,1,1,46,8,3,0,0,0,0,0,-1,6,E01017997,3,1,0.0,1.0,1
2021351052880,2021,351052880,1,1,1,2,53,8,2,0,0,0,0,0,3,7,E01018243,7,1,1.0,0.0,-1
2020350948634,2020,350948634,2,1,1,1,29,6,3,0,0,0,0,0,4,8,E01018001,3,1,0.0,1.0,-1
2022351180222,2022,351180222,1,1,1,2,17,4,2,0,0,0,0,0,3,10,E01018130,5,1,1.0,0.0,-1
2024351414066,2024,351414066,2,1,1,1,60,9,2,0,0,0,0,0,1,10,E01017995,7,1,1.0,0.0,1
2020351035584,2020,351035584,1,1,1,1,32,6,3,0,0,0,0,0,9,8,E01018242,3,1,0.0,1.0,-1
2024351424470,2024,351424470,1,1,1,1,25,5,3,0,0,0,0,0,9,8,E01018221,3,1,0.0,1.0,2
2024351476144,2024,351476144,1,2,1,1,43,7,3,0,0,0,0,0,9,7,E01035524,3,1,0.0,1.0,1
2023351374746,2023,351374746,1,1,1,1,56,9,2,0,0,0,0,0,4,8,E01033115,7,1,1.0,0.0,-1
2022351178142,2022,351178142,2,1,1,1,30,6,3,0,0,0,0,0,1,8,E01018257,3,1,0.0,1.0,-1
2022351155136,2022,351155136,2,1,1,1,43,7,3,0,0,0,0,0,1,2,E01021370,3,1,0.0,1.0,-1
2023351360234,2023,351360234,2,1,1,1,63,9,2,0,0,0,0,0,5,5,E01024774,7,1,1.0,0.0,-1
2023351380280,2023,351380280,1,1,1,1,46,8,3,0,0,0,0,0,3,3,E01017944,3,1,0.0,1.0,-1
2020350974119,2020,350974119,1,1,2,1,29,6,3,0,0,1,0,0,9,8,E01033429,3,1,0.0,1.0,-1
2021351131404,2021,351131404,1,1,2,2,28,6,3,0,0,1,0,0,9,5,E01002490,3,1,0.0,1.0,-1
2024351480457,2024,351480457,1,1,3,2,39,7,3,6,9,0,0,-1,0,8,E01018242,3,1,0.0,1.0,2
